Date,Book_ID,Title,Author,Category,Price,Quantity,Customer_Age,Customer_Gender
2023-01-01,B001,The Great Gatsby,F. Scott Fitzgerald,Fiction,12.99,2,35,F
2023-01-01,B002,To Kill a Mockingbird,Harper Lee,Fiction,14.99,1,28,M
2023-01-02,B003,Pride and Prejudice,Jane Austen,Fiction,9.99,3,42,F
2023-01-02,B004,1984,George Orwell,Science Fiction,11.99,2,31,M
2023-01-03,B005,The Catcher in the Rye,J.D. Salinger,Fiction,13.99,1,19,F
2023-01-03,B001,The Great Gatsby,F. Scott Fitzgerald,Fiction,12.99,1,55,M
2023-01-04,B006,To the Lighthouse,Virginia Woolf,Fiction,10.99,2,40,F
2023-01-04,B007,Brave New World,Aldous Huxley,Science Fiction,12.99,1,27,M
2023-01-05,B008,The Hobbit,J.R.R. Tolkien,Fantasy,15.99,3,33,M
2023-01-05,B009,Moby-Dick,Herman Melville,Fiction,14.99,1,50,F
2023-01-06,B010,Jane Eyre,Charlotte Bronte,Fiction,11.99,2,38,F
2023-01-06,B002,To Kill a Mockingbird,Harper Lee,Fiction,14.99,1,45,M
2023-01-07,B011,The Lord of the Rings,J.R.R. Tolkien,Fantasy,24.99,1,29,M
2023-01-07,B012,Wuthering Heights,Emily Bronte,Fiction,10.99,2,36,F
2023-01-08,B013,The Hunger Games,Suzanne Collins,Young Adult,13.99,3,17,F
2023-01-08,B014,The Da Vinci Code,Dan Brown,Thriller,12.99,2,41,M
2023-01-09,B015,The Alchemist,Paulo Coelho,Fiction,11.99,1,25,F
2023-01-09,B016,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,14.99,1,39,M
2023-01-10,B017,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,12.99,2,30,M
2023-01-10,B018,The Kite Runner,Khaled Hosseini,Fiction,13.99,1,34,F